Designator,Mid X,Mid Y,Rotation,Layer
C1,140.298382,-92.03521,8.0,bottom
C101,158.494277,-85.177209,180.0,bottom
C2,137.55269,-83.205362,8.0,bottom
C4,148.080275,-75.17071,90.0,bottom
C5,140.659578,-67.807762,0.0,bottom
C6,154.500868,-92.461275,135.0,bottom
D101,55.916566,-47.152002,90.0,bottom
D102,97.566306,-52.339692,98.0,bottom
D103,132.937443,-57.310782,98.0,bottom
D104,187.455285,-52.758571,82.0,bottom
D105,229.072429,-47.19923,90.0,bottom
D106,55.916566,-66.202001,90.0,bottom
D107,99.631209,-71.867116,98.0,bottom
D108,135.002347,-76.838204,98.0,bottom
D109,194.822678,-70.960365,82.0,bottom
D110,233.834927,-66.249229,90.0,bottom
D111,58.297818,-85.251999,90.0,bottom
D112,106.412265,-92.057342,98.0,bottom
D113,188.041628,-91.150592,82.0,bottom
D114,233.834929,-85.299226,90.0,bottom
D115,54.916811,-104.009652,90.0,bottom
D116,139.138729,-115.84627,98.0,bottom
D117,236.216181,-104.349227,90.0,bottom
D118,141.783402,-97.028432,98.0,bottom
F101,139.569578,-61.107762,270.0,bottom
L101,151.529578,-56.830262,90.0,bottom
MX1,47.224098,-52.505797,0.0,top
MX10,43.414097,-109.655795,0.0,top
MX11,104.985026,-58.287015,352.0,top
MX12,107.049932,-77.814434,352.0,top
MX13,113.830984,-98.004667,352.0,top
MX15,87.59898,-113.555216,352.0,top
MX16,123.849633,-60.938263,352.0,top
MX17,125.914536,-80.465686,352.0,top
MX18,132.695592,-100.655911,352.0,top
MX19,118.253967,-117.863488,352.0,top
MX2,46.938345,-71.555792,0.0,top
MX20,159.198859,-62.082311,8.0,top
MX21,166.566256,-80.284108,8.0,top
MX22,159.785204,-100.474336,8.0,top
MX23,178.063469,-59.431067,8.0,top
MX24,185.430864,-77.632862,8.0,top
MX25,178.649808,-97.823091,8.0,top
MX26,171.868756,-118.01332,8.0,top
MX27,196.92807,-56.779814,8.0,top
MX28,204.295468,-74.981613,8.0,top
MX29,197.514418,-95.171839,8.0,top
MX3,48.843349,-90.605792,0.0,top
MX30,200.165661,-114.036448,8.0,top
MX32,215.79268,-54.12857,8.0,top
MX33,223.160077,-72.330367,8.0,top
MX34,216.379022,-92.520596,8.0,top
MX35,244.010597,-109.655797,0.0,top
MX36,238.200348,-52.505797,0.0,top
MX37,243.2486,-71.555795,0.0,top
MX38,241.1531,-90.605798,0.0,top
MX4,67.255813,-52.984519,352.0,top
MX5,69.320718,-72.511939,352.0,top
MX6,76.101773,-92.702167,352.0,top
MX7,86.120419,-55.635772,352.0,top
MX8,88.185324,-75.16319,352.0,top
MX9,94.966377,-95.353421,352.0,top
R101,138.749578,-57.937762,90.0,bottom
R102,136.989578,-57.947762,270.0,bottom
R2,159.232772,-90.130209,180.0,bottom
R3,159.256273,-88.35221,180.0,bottom
R4,140.161491,-93.587664,188.0,bottom
R5,145.679578,-75.180262,90.0,bottom
SW1,127.080491,-87.618663,8.0,bottom
U101,147.305189,-86.380359,45.0,bottom
U102,143.499578,-62.877762,270.0,bottom
USB101,145.604099,-50.970796,180.0,bottom
Y1,134.446492,-90.412665,225.0,bottom
